Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,y
314,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1
1344,25,Private Sector/Self Employed,Yes,1700000,3,0,Yes,No,1
52,31,Private Sector/Self Employed,Yes,1250000,4,0,No,Yes,0
304,34,Private Sector/Self Employed,Yes,1050000,3,0,No,No,0
67,34,Private Sector/Self Employed,Yes,1500000,3,0,Yes,Yes,1
1208,31,Government Sector,Yes,1200000,9,0,No,No,0
132,28,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0
1588,31,Private Sector/Self Employed,Yes,900000,5,1,Yes,No,0
1795,27,Government Sector,Yes,850000,4,0,No,No,0
999,34,Private Sector/Self Employed,Yes,1300000,6,0,No,No,1
728,28,Private Sector/Self Employed,Yes,1250000,6,0,No,Yes,0
567,35,Private Sector/Self Employed,No,800000,7,1,No,Yes,1
1547,34,Private Sector/Self Employed,Yes,1500000,4,1,Yes,Yes,1
1467,32,Government Sector,Yes,850000,5,1,Yes,No,0
414,33,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1
443,25,Private Sector/Self Employed,No,1150000,6,0,No,No,1
1654,25,Private Sector/Self Employed,Yes,1400000,5,1,Yes,Yes,1
139,35,Private Sector/Self Employed,No,800000,7,1,No,No,1
1264,31,Government Sector,Yes,400000,6,0,No,No,0
1718,34,Private Sector/Self Employed,Yes,700000,3,0,No,No,1
264,29,Private Sector/Self Employed,Yes,350000,9,1,No,No,0
253,28,Private Sector/Self Employed,Yes,1400000,2,0,No,Yes,1
504,29,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
897,31,Government Sector,Yes,1300000,5,1,No,No,0
1299,28,Private Sector/Self Employed,Yes,700000,6,1,No,No,0
905,28,Private Sector/Self Employed,Yes,550000,6,0,No,Yes,0
812,33,Government Sector,Yes,1000000,4,1,No,No,0
1607,29,Private Sector/Self Employed,Yes,350000,8,1,No,No,1
810,29,Private Sector/Self Employed,Yes,600000,4,1,No,No,0
1131,31,Government Sector,Yes,400000,3,0,No,No,0
826,28,Private Sector/Self Employed,Yes,1150000,3,0,Yes,No,0
683,28,Private Sector/Self Employed,Yes,750000,4,0,No,No,0
394,28,Private Sector/Self Employed,Yes,1200000,4,0,No,No,1
1716,31,Private Sector/Self Employed,Yes,1250000,3,0,No,No,0
1662,28,Private Sector/Self Employed,Yes,550000,6,0,Yes,No,0
1303,28,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0
236,26,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
1444,31,Private Sector/Self Employed,Yes,900000,6,0,No,No,0
1967,34,Private Sector/Self Employed,Yes,700000,3,1,No,No,0
1028,25,Private Sector/Self Employed,No,1150000,3,1,No,No,0
398,28,Private Sector/Self Employed,Yes,1250000,5,0,Yes,No,0
1700,28,Private Sector/Self Employed,Yes,800000,6,1,No,No,0
660,28,Government Sector,Yes,300000,4,0,No,No,0
1896,31,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,1
198,25,Private Sector/Self Employed,No,1350000,4,0,No,Yes,1
1125,28,Government Sector,Yes,300000,5,0,No,No,0
1003,31,Private Sector/Self Employed,Yes,1250000,5,1,No,No,0
586,28,Government Sector,Yes,300000,7,0,No,No,0
326,28,Private Sector/Self Employed,Yes,1150000,5,0,No,No,0
56,28,Private Sector/Self Employed,Yes,550000,3,0,No,No,1
1970,29,Private Sector/Self Employed,Yes,500000,4,0,No,No,1
1618,28,Government Sector,Yes,300000,4,0,No,No,0
1212,34,Private Sector/Self Employed,No,1300000,5,0,No,No,0
1769,29,Private Sector/Self Employed,Yes,1050000,5,0,No,No,0
781,27,Government Sector,Yes,500000,5,0,No,No,1
104,28,Private Sector/Self Employed,Yes,1150000,3,0,No,No,0
1058,27,Government Sector,Yes,900000,6,0,Yes,Yes,0
1966,34,Private Sector/Self Employed,Yes,700000,3,0,Yes,No,0
556,33,Private Sector/Self Employed,Yes,550000,4,1,No,No,0
1380,28,Private Sector/Self Employed,Yes,500000,5,1,No,No,1
745,28,Government Sector,Yes,600000,3,0,Yes,No,0
487,34,Private Sector/Self Employed,Yes,850000,4,0,No,No,1
761,26,Private Sector/Self Employed,Yes,1500000,3,0,Yes,Yes,1
1165,28,Private Sector/Self Employed,Yes,1150000,2,0,No,No,1
1279,29,Private Sector/Self Employed,Yes,1200000,5,0,Yes,No,1
1696,28,Private Sector/Self Employed,Yes,800000,2,1,No,No,0
1458,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0
627,27,Government Sector,Yes,500000,6,0,No,No,0
1671,29,Private Sector/Self Employed,Yes,1350000,8,0,No,Yes,1
86,32,Government Sector,Yes,900000,4,0,No,No,0
946,25,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,1
1813,29,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,1
1595,34,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
771,29,Private Sector/Self Employed,Yes,500000,7,0,No,No,1
1465,35,Private Sector/Self Employed,No,950000,2,1,No,No,0
1328,28,Private Sector/Self Employed,Yes,900000,2,0,Yes,No,0
1450,34,Private Sector/Self Employed,Yes,1050000,7,0,No,No,1
880,28,Private Sector/Self Employed,Yes,750000,6,0,Yes,No,0
298,25,Private Sector/Self Employed,No,1700000,4,0,Yes,No,1
147,31,Government Sector,No,400000,4,1,No,No,0
1357,30,Private Sector/Self Employed,No,550000,7,0,No,No,0
135,28,Private Sector/Self Employed,Yes,800000,6,0,No,Yes,1
1466,29,Private Sector/Self Employed,Yes,1200000,7,0,No,No,0
1098,28,Private Sector/Self Employed,Yes,1150000,6,1,No,No,0
332,31,Private Sector/Self Employed,Yes,1650000,7,1,Yes,No,1
620,29,Private Sector/Self Employed,Yes,1050000,4,0,Yes,No,0
228,34,Private Sector/Self Employed,Yes,1000000,5,0,No,No,0
1088,28,Private Sector/Self Employed,Yes,1250000,9,1,No,No,0
1772,28,Private Sector/Self Employed,Yes,1150000,8,0,Yes,No,0
287,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,0
390,33,Private Sector/Self Employed,Yes,550000,5,0,No,No,1
496,26,Private Sector/Self Employed,Yes,600000,7,0,No,No,0
1419,27,Government Sector,Yes,1050000,5,0,No,No,0
341,28,Private Sector/Self Employed,Yes,550000,7,0,No,No,0
1692,29,Private Sector/Self Employed,Yes,1100000,6,0,Yes,No,0
1857,27,Government Sector,Yes,900000,4,0,No,No,0
565,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,0
658,30,Private Sector/Self Employed,No,1450000,6,0,Yes,Yes,1
923,28,Private Sector/Self Employed,Yes,1100000,4,1,Yes,No,0
220,35,Private Sector/Self Employed,No,800000,2,0,No,No,0
1713,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0
559,29,Private Sector/Self Employed,Yes,1200000,3,0,No,No,1
1809,28,Government Sector,Yes,300000,6,1,No,No,0
1752,26,Government Sector,Yes,500000,5,1,No,No,0
795,32,Government Sector,Yes,350000,3,0,No,No,0
1973,31,Private Sector/Self Employed,Yes,1350000,3,0,No,Yes,1
1690,35,Private Sector/Self Employed,No,800000,6,1,No,Yes,1
1111,34,Private Sector/Self Employed,Yes,500000,3,0,No,No,0
1698,29,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
1744,28,Private Sector/Self Employed,No,550000,6,1,No,No,0
1284,33,Government Sector,Yes,400000,5,0,No,No,0
617,30,Private Sector/Self Employed,No,550000,5,0,Yes,No,1
71,28,Private Sector/Self Employed,Yes,750000,6,0,Yes,No,0
1011,35,Private Sector/Self Employed,No,950000,9,0,No,No,1
1055,25,Private Sector/Self Employed,Yes,1700000,5,0,Yes,No,1
289,26,Private Sector/Self Employed,Yes,500000,3,0,No,No,0
1235,28,Government Sector,Yes,1200000,3,0,No,No,0
1858,30,Private Sector/Self Employed,No,750000,3,1,No,No,1
1218,28,Private Sector/Self Employed,Yes,1150000,7,0,No,No,0
1220,28,Private Sector/Self Employed,Yes,1100000,5,0,No,No,0
1369,34,Private Sector/Self Employed,No,750000,4,0,Yes,No,0
1319,26,Private Sector/Self Employed,Yes,600000,6,0,Yes,No,0
1945,28,Private Sector/Self Employed,No,550000,4,1,No,Yes,1
1456,25,Private Sector/Self Employed,No,1700000,3,0,Yes,No,1
694,34,Government Sector,Yes,1100000,6,1,No,No,1
1374,28,Government Sector,Yes,300000,6,1,No,No,0
361,29,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,1
1725,28,Private Sector/Self Employed,Yes,700000,3,0,No,No,0
1688,31,Private Sector/Self Employed,Yes,1250000,8,0,No,No,0
258,29,Private Sector/Self Employed,Yes,900000,7,0,Yes,No,0
1561,28,Private Sector/Self Employed,Yes,700000,7,0,No,No,0
437,27,Private Sector/Self Employed,No,800000,7,0,No,No,0
1447,31,Government Sector,No,300000,3,1,No,No,0
1770,34,Private Sector/Self Employed,Yes,1050000,4,1,No,No,0
949,29,Private Sector/Self Employed,Yes,1200000,3,1,No,Yes,1
907,26,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,1
1958,31,Government Sector,Yes,1300000,3,1,No,No,0
659,34,Private Sector/Self Employed,Yes,500000,3,0,No,No,0
606,28,Private Sector/Self Employed,Yes,800000,3,0,No,No,0
1383,25,Private Sector/Self Employed,Yes,1400000,2,1,No,Yes,1
1622,34,Private Sector/Self Employed,Yes,1000000,9,0,No,No,1
1266,33,Private Sector/Self Employed,Yes,1400000,8,1,No,Yes,1
309,33,Government Sector,Yes,650000,4,0,No,No,1
106,34,Private Sector/Self Employed,Yes,1300000,3,0,No,No,0
1478,28,Government Sector,Yes,1100000,4,1,No,No,0
1230,31,Government Sector,Yes,1500000,6,0,Yes,Yes,1
1318,31,Private Sector/Self Employed,Yes,1350000,3,1,No,Yes,1
645,28,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0
847,29,Private Sector/Self Employed,Yes,1050000,4,0,No,No,1
530,29,Private Sector/Self Employed,Yes,900000,3,0,No,No,0
127,27,Government Sector,Yes,750000,5,0,No,No,0
199,30,Private Sector/Self Employed,No,1450000,5,0,Yes,Yes,1
194,33,Government Sector,Yes,1100000,5,0,No,No,0
11,26,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,1
181,26,Private Sector/Self Employed,Yes,1300000,3,0,No,No,0
932,27,Government Sector,Yes,1050000,5,1,No,No,1
1107,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1
1309,33,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1
619,35,Government Sector,Yes,1100000,6,0,No,No,1
1603,28,Government Sector,Yes,600000,6,0,No,No,0
32,25,Government Sector,Yes,750000,4,0,No,No,1
1822,35,Private Sector/Self Employed,No,800000,5,0,No,No,0
376,31,Government Sector,Yes,1300000,4,0,No,No,0
369,32,Government Sector,Yes,800000,7,1,No,No,0
187,28,Private Sector/Self Employed,Yes,650000,9,0,No,No,0
1295,35,Government Sector,Yes,900000,7,1,Yes,No,1
42,26,Private Sector/Self Employed,Yes,1500000,2,1,Yes,Yes,1
1395,35,Government Sector,Yes,1100000,2,1,No,No,0
1243,33,Government Sector,Yes,700000,6,1,No,No,1
1635,31,Private Sector/Self Employed,Yes,1250000,5,0,No,No,0
265,27,Government Sector,Yes,850000,6,0,Yes,No,0
1076,31,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,1
672,27,Government Sector,Yes,1050000,2,1,No,No,0
1282,31,Private Sector/Self Employed,Yes,1400000,3,0,Yes,Yes,1
1463,28,Private Sector/Self Employed,Yes,1150000,6,0,No,No,0
371,27,Government Sector,Yes,900000,5,1,No,Yes,0
1362,28,Private Sector/Self Employed,Yes,700000,2,1,No,No,1
1738,29,Private Sector/Self Employed,Yes,1200000,8,0,Yes,No,0
928,26,Private Sector/Self Employed,Yes,450000,7,0,No,No,1
5,25,Private Sector/Self Employed,No,1150000,4,0,No,No,0
98,29,Private Sector/Self Employed,Yes,1100000,6,0,No,No,0
156,28,Private Sector/Self Employed,Yes,900000,4,0,Yes,No,0
177,28,Private Sector/Self Employed,Yes,1250000,5,0,No,No,0
988,31,Private Sector/Self Employed,Yes,1750000,7,0,No,No,0
1553,28,Private Sector/Self Employed,Yes,1450000,3,0,Yes,Yes,1
917,28,Government Sector,Yes,300000,6,0,No,No,0
159,27,Government Sector,Yes,900000,7,1,No,No,0
325,31,Private Sector/Self Employed,Yes,1250000,4,0,No,No,0
151,29,Private Sector/Self Employed,Yes,1200000,7,0,No,No,1
1474,28,Government Sector,Yes,300000,5,1,No,No,0
1749,33,Government Sector,Yes,1100000,4,1,No,Yes,0
1892,28,Private Sector/Self Employed,Yes,700000,5,0,No,No,0
459,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
208,29,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,1
1242,28,Private Sector/Self Employed,Yes,700000,3,1,No,Yes,0
1609,27,Government Sector,Yes,500000,3,1,No,No,0
59,33,Private Sector/Self Employed,Yes,1400000,9,0,Yes,Yes,1
1338,28,Private Sector/Self Employed,Yes,1450000,4,0,Yes,Yes,1
37,34,Private Sector/Self Employed,Yes,700000,4,0,No,No,0
1361,26,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1
936,33,Government Sector,Yes,800000,3,0,No,No,0
516,31,Private Sector/Self Employed,Yes,1250000,3,1,No,No,0
91,28,Government Sector,Yes,300000,4,1,No,No,0
1416,26,Private Sector/Self Employed,Yes,600000,6,1,No,No,0
12,32,Government Sector,Yes,850000,6,0,No,No,1
1381,25,Private Sector/Self Employed,Yes,1400000,4,1,No,Yes,1
270,34,Government Sector,Yes,1300000,6,0,No,Yes,1
782,28,Private Sector/Self Employed,Yes,1200000,4,0,No,No,0
500,26,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,1
748,28,Private Sector/Self Employed,Yes,650000,5,0,No,Yes,0
1073,28,Private Sector/Self Employed,Yes,500000,7,0,No,No,0
1621,31,Private Sector/Self Employed,Yes,900000,4,1,No,No,0
1705,28,Government Sector,Yes,300000,8,0,No,No,0
1382,28,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1
312,32,Government Sector,Yes,850000,7,0,No,No,0
58,33,Private Sector/Self Employed,Yes,1400000,6,0,Yes,Yes,1
1798,25,Private Sector/Self Employed,Yes,1700000,3,0,Yes,No,1
673,30,Private Sector/Self Employed,No,750000,3,1,No,No,1
1975,26,Private Sector/Self Employed,Yes,1400000,9,0,No,Yes,1
1908,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0
857,28,Government Sector,Yes,600000,3,0,No,No,1
1761,30,Private Sector/Self Employed,No,500000,7,1,No,No,0
1712,28,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1
1929,28,Government Sector,Yes,600000,7,1,No,No,1
1541,28,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0
1765,34,Private Sector/Self Employed,Yes,1300000,6,1,No,No,1
778,27,Government Sector,Yes,850000,6,0,No,No,0
335,28,Private Sector/Self Employed,Yes,800000,2,0,No,No,1
1638,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,1
1302,28,Private Sector/Self Employed,No,550000,3,0,No,No,1
467,26,Government Sector,Yes,500000,5,0,No,No,0
1619,25,Government Sector,Yes,750000,6,0,No,No,0
1730,31,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0
1939,27,Private Sector/Self Employed,No,450000,8,0,No,No,0
572,28,Private Sector/Self Employed,No,550000,5,0,No,No,0
1106,34,Private Sector/Self Employed,Yes,1300000,4,0,No,No,0
1720,29,Private Sector/Self Employed,Yes,1100000,2,0,No,No,0
590,28,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
1336,28,Private Sector/Self Employed,Yes,900000,3,0,No,No,0
1925,33,Government Sector,Yes,400000,5,0,No,No,0
687,28,Private Sector/Self Employed,Yes,1150000,3,0,No,No,0
138,28,Private Sector/Self Employed,Yes,1150000,4,0,No,No,0
1429,32,Government Sector,Yes,650000,3,0,No,No,1
984,28,Private Sector/Self Employed,Yes,550000,5,1,No,No,0
1748,28,Private Sector/Self Employed,Yes,1100000,4,0,Yes,No,0
839,26,Private Sector/Self Employed,Yes,1250000,4,0,No,No,1
779,25,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1
408,31,Government Sector,No,350000,2,0,No,No,0
1499,28,Private Sector/Self Employed,Yes,1200000,3,0,No,No,0
1740,26,Private Sector/Self Employed,Yes,600000,7,0,No,No,0
669,26,Private Sector/Self Employed,Yes,600000,3,0,Yes,No,0
755,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,0
720,27,Government Sector,Yes,850000,2,0,No,Yes,0
554,32,Government Sector,Yes,800000,6,0,No,No,0
1904,28,Private Sector/Self Employed,Yes,700000,7,0,Yes,No,0
451,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0
1272,33,Government Sector,Yes,650000,3,0,No,No,1
109,25,Private Sector/Self Employed,Yes,1700000,3,0,Yes,No,1
758,33,Private Sector/Self Employed,Yes,1400000,6,1,No,Yes,1
689,27,Government Sector,Yes,500000,7,0,No,No,0
1823,25,Private Sector/Self Employed,Yes,1800000,6,0,Yes,No,1
1533,33,Government Sector,Yes,600000,8,0,No,No,1
251,28,Government Sector,Yes,300000,5,0,No,No,0
386,28,Private Sector/Self Employed,Yes,1350000,5,0,No,Yes,1
662,26,Private Sector/Self Employed,Yes,500000,6,0,No,No,0
524,32,Government Sector,Yes,800000,4,0,No,No,0
816,34,Private Sector/Self Employed,Yes,1050000,4,0,No,No,0
1211,25,Private Sector/Self Employed,Yes,1700000,4,0,Yes,No,1
891,29,Private Sector/Self Employed,Yes,1050000,5,1,No,No,0
1658,35,Private Sector/Self Employed,No,950000,6,0,No,Yes,0
906,34,Government Sector,Yes,1300000,5,1,No,No,0
807,27,Government Sector,Yes,1050000,3,0,Yes,No,1
1018,31,Government Sector,Yes,400000,7,0,No,No,0
835,35,Private Sector/Self Employed,No,600000,9,0,No,No,0
1139,26,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
468,28,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0
1865,26,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,1
1633,25,Private Sector/Self Employed,No,1150000,3,0,Yes,No,0
625,31,Private Sector/Self Employed,Yes,1750000,4,0,No,No,0
1882,31,Private Sector/Self Employed,Yes,1350000,9,1,No,Yes,1
113,29,Private Sector/Self Employed,Yes,900000,4,0,Yes,No,0
1888,26,Private Sector/Self Employed,Yes,750000,5,1,No,No,0
1953,34,Government Sector,Yes,1300000,7,0,No,No,1
1468,31,Private Sector/Self Employed,Yes,1250000,6,1,No,No,0
1913,33,Government Sector,Yes,1100000,5,0,No,No,0
1409,28,Private Sector/Self Employed,Yes,1200000,3,0,No,No,1
534,27,Private Sector/Self Employed,No,450000,4,0,No,No,1
1194,31,Private Sector/Self Employed,Yes,1350000,3,0,No,Yes,1
1797,28,Private Sector/Self Employed,Yes,800000,3,1,No,No,0
1519,28,Government Sector,Yes,300000,6,0,No,No,1
1766,26,Government Sector,Yes,550000,4,0,No,No,0
1331,31,Private Sector/Self Employed,Yes,1250000,5,0,No,No,1
399,35,Private Sector/Self Employed,No,800000,5,0,No,No,0
1486,32,Government Sector,Yes,350000,5,0,No,No,0
1047,31,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,1
542,27,Private Sector/Self Employed,No,600000,4,0,Yes,No,0
272,28,Private Sector/Self Employed,Yes,700000,3,1,No,No,0
1763,29,Private Sector/Self Employed,Yes,1050000,3,0,No,No,0
1137,35,Private Sector/Self Employed,No,800000,5,0,No,No,0
23,28,Government Sector,Yes,600000,9,0,No,No,1
1402,26,Private Sector/Self Employed,Yes,600000,4,1,No,No,0
1787,34,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
1965,30,Private Sector/Self Employed,No,550000,3,0,No,No,1
553,33,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,0
679,26,Government Sector,Yes,500000,5,0,No,No,0
80,26,Private Sector/Self Employed,Yes,1300000,4,1,No,No,0
1041,26,Private Sector/Self Employed,Yes,500000,2,1,No,No,0
1572,25,Private Sector/Self Employed,No,1150000,5,0,Yes,No,0
690,33,Private Sector/Self Employed,Yes,1400000,8,0,No,Yes,0
719,34,Private Sector/Self Employed,No,1300000,4,0,No,No,0
48,28,Private Sector/Self Employed,Yes,600000,3,0,No,No,0
685,34,Private Sector/Self Employed,Yes,1500000,4,1,Yes,Yes,1
1577,28,Government Sector,No,300000,4,0,No,No,0
337,30,Private Sector/Self Employed,No,550000,7,0,Yes,No,0
1637,35,Private Sector/Self Employed,No,800000,5,0,No,Yes,1
367,31,Government Sector,Yes,1300000,4,0,No,No,0
644,32,Government Sector,Yes,800000,4,0,No,No,0
160,31,Government Sector,Yes,1200000,5,1,No,No,1
96,28,Private Sector/Self Employed,Yes,700000,4,0,No,No,0
982,27,Government Sector,Yes,850000,5,0,No,No,0
1016,29,Private Sector/Self Employed,Yes,350000,9,1,No,No,0
760,27,Government Sector,Yes,500000,4,1,No,No,0
1170,34,Government Sector,Yes,1300000,5,0,No,No,0
571,32,Government Sector,Yes,850000,5,1,No,No,0
244,27,Government Sector,Yes,500000,4,0,No,No,0
1391,31,Private Sector/Self Employed,Yes,1400000,4,1,No,Yes,0
681,28,Private Sector/Self Employed,Yes,1200000,4,0,No,No,0
841,34,Private Sector/Self Employed,Yes,1500000,3,0,Yes,Yes,1
701,29,Private Sector/Self Employed,Yes,1350000,7,1,No,Yes,1
412,28,Government Sector,Yes,300000,7,1,No,No,0
605,28,Private Sector/Self Employed,Yes,1250000,5,0,No,Yes,1
351,29,Private Sector/Self Employed,Yes,1200000,9,1,Yes,No,0
2,34,Private Sector/Self Employed,Yes,500000,4,1,No,No,1
406,28,Private Sector/Self Employed,Yes,1200000,9,0,No,No,1
223,30,Private Sector/Self Employed,No,650000,3,0,No,No,0
718,27,Government Sector,Yes,900000,4,0,No,No,0
638,26,Government Sector,Yes,1450000,3,0,Yes,Yes,1
1342,25,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,1
622,32,Government Sector,Yes,800000,5,0,Yes,No,0
762,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,0
1593,26,Private Sector/Self Employed,Yes,500000,8,0,No,No,0
996,31,Private Sector/Self Employed,Yes,1400000,4,0,Yes,Yes,1
411,28,Government Sector,Yes,600000,6,0,No,No,0
321,28,Private Sector/Self Employed,Yes,500000,3,0,No,No,0
401,34,Private Sector/Self Employed,Yes,700000,4,0,No,No,0
221,28,Private Sector/Self Employed,Yes,1200000,6,1,No,No,0
1777,34,Private Sector/Self Employed,Yes,700000,4,1,Yes,No,0
523,33,Government Sector,Yes,400000,5,1,No,No,0
1885,35,Government Sector,Yes,1100000,3,0,No,No,0
478,29,Private Sector/Self Employed,Yes,900000,4,0,No,No,0
297,35,Private Sector/Self Employed,No,800000,7,1,No,No,1
873,32,Government Sector,Yes,350000,3,0,No,No,1
872,27,Private Sector/Self Employed,No,1000000,3,0,No,No,0
1094,34,Private Sector/Self Employed,Yes,700000,5,1,No,No,0
1812,28,Private Sector/Self Employed,Yes,800000,6,0,No,Yes,0
